Component, CC
org.jfree.data.ComparableObjectItem,6
org.jfree.chart.entity.EntityCollection,4
org.jfree.chart.annotations.XYPointerAnnotation,12
org.jfree.chart.imagemap.ImageMapUtilities,9
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,8
org.jfree.data.xy.DefaultXYZDataset,5
org.jfree.chart.event.MarkerChangeListener,4
org.jfree.data.time.TimeSeriesTableModel,6
org.jfree.chart.labels.XYSeriesLabelGenerator,4
org.jfree.chart.axis.ColorBar,5
org.jfree.chart.axis.SubCategoryAxis,9
org.jfree.chart.plot.PlotRenderingInfo,5
org.jfree.chart.block.BlockContainer,5
org.jfree.chart.needle.PointerNeedle,6
org.jfree.chart.urls.CustomCategoryURLGenerator,6
org.jfree.chart.needle.LineNeedle,6
org.jfree.chart.plot.PlotState,4
org.jfree.data.time.FixedMillisecond,7
org.jfree.chart.urls.PieURLGenerator,5
org.jfree.chart.axis.TickType,6
org.jfree.data.Range,10
org.jfree.data.jdbc.JDBCPieDataset,6
org.jfree.chart.plot.dial.SimpleDialFrame,2
org.jfree.data.time.TimePeriodValuesCollection,5
org.jfree.chart.encoders.EncoderUtil,5
org.jfree.data.xy.MatrixSeriesCollection,7
org.jfree.chart.editor.DefaultChartEditorFactory,5
org.jfree.data.xy.XYRangeInfo,3
org.jfree.chart.annotations.XYDataImageAnnotation,6
org.jfree.chart.event.RendererChangeListener,4
org.jfree.chart.event.RendererChangeEvent,5
org.jfree.chart.renderer.xy.XYSplineRenderer,15
org.jfree.data.time.TimeSeriesDataItem,6
org.jfree.chart.entity.TitleEntity,4
org.jfree.chart.plot.dial.DialLayerChangeEvent,5
org.jfree.chart.plot.CategoryPlot,51
org.jfree.chart.editor.ChartEditorManager,5
org.jfree.data.general.PieDataset,4
org.jfree.data.xy.VectorSeriesCollection,5
org.jfree.chart.urls.URLUtilities,4
org.jfree.data.xy.IntervalXYZDataset,4
org.jfree.chart.PaintMap,7
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,5
org.jfree.chart.urls.XYURLGenerator,5
org.jfree.chart.needle.MeterNeedle,6
org.jfree.chart.event.OverlayChangeListener,4
org.jfree.data.general.HeatMapUtilities,4
org.jfree.data.xy.Vector,5
org.jfree.chart.plot.Crosshair,6
org.jfree.chart.labels.ContourToolTipGenerator,4
org.jfree.chart.axis.LogAxis,26
org.jfree.chart.editor.DefaultAxisEditor,9
org.jfree.chart.needle.LongNeedle,7
org.jfree.data.general.DefaultValueDataset,5
org.jfree.chart.urls.CustomPieURLGenerator,5
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,31
org.jfree.data.xy.OHLCDataset,4
org.jfree.chart.annotations.CategoryPointerAnnotation,8
org.jfree.chart.plot.PiePlot,39
org.jfree.chart.plot.dial.StandardDialRange,8
org.jfree.chart.labels.CustomXYToolTipGenerator,5
org.jfree.chart.renderer.category.WaterfallBarRenderer,15
org.jfree.chart.util.HMSNumberFormat,1
org.jfree.chart.plot.Marker,9
org.jfree.chart.annotations.Annotation,5
org.jfree.chart.renderer.category.MultiShapeRenderer,2
org.jfree.chart.axis.NumberTickUnit,6
org.jfree.data.general.WaferMapDataset,5
org.jfree.data.function.NormalDistributionFunction2D,9
org.jfree.chart.fx.interaction.ScrollHandlerFX,1
org.jfree.chart.event.TitleChangeEvent,4
org.jfree.chart.ChartTransferable,6
org.jfree.data.xy.DefaultTableXYDataset,8
org.jfree.chart.renderer.DefaultPolarItemRenderer,16
org.jfree.data.time.Week,10
org.jfree.chart.plot.IntervalMarker,6
org.jfree.chart.axis.TickUnits,6
org.jfree.chart.renderer.OutlierListCollection,4
org.jfree.data.function.PolynomialFunction2D,5
org.jfree.chart.renderer.LookupPaintScale,9
org.jfree.data.KeyedObject,5
org.jfree.chart.annotations.XYShapeAnnotation,6
org.jfree.chart.fx.demo.TimeSeriesChartFXDemo1,2
org.jfree.data.xy.XisSymbolic,5
org.jfree.data.contour.ContourDataset,4
org.jfree.chart.plot.CategoryMarker,5
org.jfree.data.time.ohlc.OHLCSeriesCollection,9
org.jfree.chart.renderer.xy.XYAreaRenderer,16
org.jfree.chart.renderer.xy.XYSplineAndShapeRenderer,4
org.jfree.data.resources.DataPackageResources,5
org.jfree.chart.renderer.GrayPaintScale,8
org.jfree.chart.panel.AbstractOverlay,4
org.jfree.data.xy.XYInterval,5
org.jfree.chart.plot.Pannable,3
org.jfree.data.Values,4
org.jfree.chart.LegendItemCollection,7
org.jfree.chart.axis.CategoryLabelPositions,6
org.jfree.data.gantt.Task,5
org.jfree.chart.plot.RainbowPalette,5
org.jfree.data.general.AbstractSeriesDataset,5
org.jfree.chart.block.GridArrangement,6
org.jfree.chart.axis.ExtendedCategoryAxis,6
org.jfree.chart.plot.PieLabelLinkStyle,6
org.jfree.chart.urls.StandardCategoryURLGenerator,8
org.jfree.data.resources.DataPackageResources_pl,5
org.jfree.chart.event.PlotChangeEvent,4
org.jfree.chart.axis.CategoryTick,5
org.jfree.chart.util.DirectionalGradientPaintTransformer,3
org.jfree.data.DomainInfo,7
org.jfree.chart.renderer.Outlier,6
org.jfree.data.DomainOrder,6
org.jfree.data.time.ohlc.OHLCItem,5
org.jfree.chart.util.ExportUtils,2
org.jfree.chart.ChartFactory,18
org.jfree.chart.axis.NumberAxis3D,7
org.jfree.chart.fx.interaction.ChartMouseListenerFX,1
org.jfree.chart.plot.MeterPlot,10
org.jfree.data.xy.XIntervalDataItem,4
org.jfree.data.KeyedObjects2D,9
org.jfree.chart.renderer.category.CategoryItemRenderer,10
org.jfree.chart.renderer.category.AreaRenderer,14
org.jfree.chart.renderer.xy.XYStepRenderer,16
org.jfree.data.statistics.SimpleHistogramDataset,7
org.jfree.chart.plot.dial.AbstractDialLayer,8
org.jfree.data.gantt.GanttCategoryDataset,4
org.jfree.chart.labels.IntervalXYItemLabelGenerator,5
org.jfree.chart.event.ChartProgressEvent,5
org.jfree.data.xy.YisSymbolic,5
org.jfree.chart.labels.StandardXYItemLabelGenerator,6
org.jfree.chart.renderer.category.StatisticalBarRenderer,16
org.jfree.data.jdbc.JDBCCategoryDataset,4
org.jfree.data.xy.XYZDataset,4
org.jfree.chart.axis.AxisCollection,4
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,28
org.jfree.chart.renderer.category.StackedAreaRenderer,14
org.jfree.chart.ChartHints,2
org.jfree.chart.block.LabelBlock,7
org.jfree.data.ComparableObjectSeries,8
org.jfree.chart.labels.StandardXYToolTipGenerator,7
org.jfree.chart.plot.ContourPlotUtilities,4
org.jfree.data.DefaultKeyedValues2D,9
org.jfree.chart.encoders.SunJPEGEncoderAdapter,5
org.jfree.data.time.ohlc.OHLC,6
org.jfree.data.statistics.BoxAndWhiskerItem,5
org.jfree.chart.fx.package-info,1
org.jfree.chart.axis.SegmentedTimeline,12
org.jfree.chart.annotations.TextAnnotation,8
org.jfree.data.resources.DataPackageResources_ru,5
org.jfree.data.general.AbstractDataset,7
org.jfree.data.xy.AbstractXYDataset,5
org.jfree.data.RangeType,5
org.jfree.chart.axis.NumberTick,5
org.jfree.data.general.SeriesDataset,5
org.jfree.data.general.DatasetUtilities,30
org.jfree.chart.ChartFrame,4
org.jfree.chart.jxlayer.CrosshairLayerUI,3
org.jfree.chart.annotations.CategoryTextAnnotation,8
org.jfree.data.time.TimePeriod,4
org.jfree.chart.labels.StandardPieToolTipGenerator,6
org.jfree.chart.urls.CustomXYURLGenerator,8
org.jfree.chart.panel.CrosshairOverlay,8
org.jfree.chart.fx.interaction.DispatchHandlerFX,2
org.jfree.chart.ChartColor,6
org.jfree.chart.plot.MeterInterval,5
org.jfree.data.xy.DefaultHighLowDataset,5
org.jfree.chart.servlet.DisplayChart,7
org.jfree.data.general.Series,11
org.jfree.chart.labels.PieToolTipGenerator,4
org.jfree.chart.axis.CategoryLabelPosition,5
org.jfree.chart.encoders.SunPNGEncoderAdapter,6
org.jfree.chart.encoders.ImageFormat,4
org.jfree.chart.fx.ChartViewer,2
org.jfree.chart.editor.DefaultColorBarEditor,6
org.jfree.chart.renderer.xy.StandardXYBarPainter,5
org.jfree.data.xy.WindDataset,4
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,11
org.jfree.data.xml.RootHandler,5
org.jfree.chart.title.CompositeTitle,10
org.jfree.chart.renderer.NotOutlierException,4
org.jfree.chart.renderer.category.BarPainter,4
org.jfree.chart.plot.PieLabelRecord,8
org.jfree.chart.axis.StandardTickUnitSource,6
org.jfree.chart.plot.PolarAxisLocation,4
org.jfree.chart.plot.dial.DialLayerChangeListener,5
org.jfree.chart.axis.DateTickMarkPosition,5
org.jfree.chart.labels.CategorySeriesLabelGenerator,4
org.jfree.chart.renderer.category.ScatterRenderer,16
org.jfree.data.xy.DefaultIntervalXYDataset,6
org.jfree.chart.axis.LogarithmicAxis,7
org.jfree.data.xy.AbstractXYZDataset,5
org.jfree.chart.panel.Overlay,4
org.jfree.chart.renderer.xy.VectorRenderer,11
org.jfree.data.xy.XIntervalSeriesCollection,7
org.jfree.chart.event.AxisChangeListener,4
org.jfree.chart.plot.SeriesRenderingOrder,5
org.jfree.data.xy.DefaultOHLCDataset,8
org.jfree.data.general.DatasetGroup,5
org.jfree.chart.plot.dial.DialTextAnnotation,8
org.jfree.data.time.TimeSeries,21
org.jfree.chart.plot.XYPlot,54
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,6
org.jfree.data.xml.ValueHandler,5
org.jfree.data.xy.XYDataItem,8
org.jfree.chart.block.Block,4
org.jfree.chart.plot.ThermometerPlot,10
org.jfree.chart.annotations.XYBoxAnnotation,6
org.jfree.chart.entity.AxisEntity,4
org.jfree.data.gantt.TaskSeriesCollection,6
org.jfree.data.statistics.HistogramDataset,9
org.jfree.chart.axis.NumberAxis,16
org.jfree.data.xy.XYSeriesCollection,16
org.jfree.chart.block.BlockFrame,4
org.jfree.chart.needle.ArrowNeedle,6
org.jfree.chart.block.EntityBlockResult,4
org.jfree.chart.block.Arrangement,5
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,11
org.jfree.data.statistics.HistogramBin,5
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,27
org.jfree.chart.plot.dial.DialPlot,13
org.jfree.chart.renderer.xy.YIntervalRenderer,13
org.jfree.data.resources.DataPackageResources_es,5
org.jfree.data.general.DefaultKeyedValueDataset,6
org.jfree.data.xy.XYBarDataset,8
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,6
org.jfree.chart.labels.HighLowItemLabelGenerator,5
org.jfree.chart.renderer.category.LineAndShapeRenderer,17
org.jfree.chart.ChartUtilities,9
org.jfree.chart.labels.CategoryItemLabelGenerator,4
org.jfree.chart.util.CloneUtils,1
org.jfree.chart.axis.QuarterDateFormat,6
org.jfree.chart.labels.StandardPieSectionLabelGenerator,7
org.jfree.chart.util.HexNumberFormat,7
org.jfree.data.function.LineFunction2D,6
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,5
org.jfree.chart.editor.DefaultLogAxisEditor,3
org.jfree.data.resources.DataPackageResources_fr,5
org.jfree.chart.block.RectangleConstraint,5
org.jfree.chart.labels.ItemLabelAnchor,6
org.jfree.chart.labels.XYToolTipGenerator,4
org.jfree.chart.StandardChartTheme,17
org.jfree.chart.axis.DateTick,8
org.jfree.chart.plot.DefaultDrawingSupplier,5
org.jfree.chart.plot.PolarPlot,24
org.jfree.chart.entity.CategoryLabelEntity,8
org.jfree.data.xml.ItemHandler,5
org.jfree.chart.imagemap.URLTagFragmentGenerator,6
org.jfree.chart.axis.NumberTickUnitSource,2
org.jfree.chart.needle.PinNeedle,6
org.jfree.data.general.CombinedDataset,7
org.jfree.chart.annotations.CategoryLineAnnotation,9
org.jfree.chart.renderer.category.GanttRenderer,13
org.jfree.data.time.Hour,11
org.jfree.data.xy.VectorDataItem,5
org.jfree.data.time.Quarter,9
org.jfree.data.category.DefaultIntervalCategoryDataset,8
org.jfree.chart.fx.interaction.package-info,2
org.jfree.data.time.TimePeriodValues,5
org.jfree.chart.renderer.RendererUtilities,9
org.jfree.chart.renderer.xy.XYBubbleRenderer,9
org.jfree.chart.renderer.xy.XYDotRenderer,12
org.jfree.chart.renderer.category.GradientBarPainter,8
org.jfree.chart.encoders.ImageEncoder,5
org.jfree.chart.renderer.category.BarRenderer3D,13
org.jfree.data.xy.MatrixSeries,6
org.jfree.data.gantt.SlidingGanttCategoryDataset,7
org.jfree.chart.plot.CenterTextMode,1
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,6
org.jfree.data.xy.NormalizedMatrixSeries,7
org.jfree.chart.block.ColorBlock,7
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,4
org.jfree.chart.axis.TickUnitSource,5
org.jfree.chart.util.XYCoordinateType,4
org.jfree.data.time.Month,12
org.jfree.chart.event.ChartChangeEventType,5
org.jfree.chart.renderer.xy.XYShapeRenderer,9
org.jfree.chart.renderer.xy.StandardXYItemRenderer,9
org.jfree.chart.event.AxisChangeEvent,4
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,21
org.jfree.data.time.TimePeriodValue,7
org.jfree.data.Value,4
org.jfree.chart.entity.ChartEntity,11
org.jfree.chart.labels.ItemLabelPosition,5
org.jfree.chart.annotations.XYDrawableAnnotation,9
org.jfree.chart.renderer.category.LevelRenderer,13
org.jfree.chart.block.BlockParams,5
org.jfree.chart.renderer.xy.XYErrorRenderer,11
org.jfree.chart.plot.MultiplePiePlot,9
org.jfree.chart.plot.DatasetRenderingOrder,6
org.jfree.data.time.ohlc.OHLCSeries,6
org.jfree.chart.renderer.category.BarRenderer,20
org.jfree.chart.event.OverlayChangeEvent,4
org.jfree.chart.needle.PlumNeedle,6
org.jfree.chart.labels.StandardXYZToolTipGenerator,5
org.jfree.data.category.IntervalCategoryDataset,5
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,10
org.jfree.data.xy.VectorXYDataset,4
org.jfree.data.UnknownKeyException,4
org.jfree.chart.title.PaintScaleLegend,14
org.jfree.data.category.CategoryToPieDataset,6
org.jfree.chart.event.MarkerChangeEvent,4
