Component, CC
java5.edu.umd.cs.findbugs.gui2.SortableStringComparator,5
java.edu.umd.cs.findbugs.ba.jsr305.TypeQualifierResolver,10
java.edu.umd.cs.findbugs.bcel.OpcodeStackDetector,11
java.edu.umd.cs.findbugs.log.Logger,3
java.edu.umd.cs.findbugs.classfile.engine.bcel.UsagesRequiringNonNullValuesFactory,2
junit.edu.umd.cs.findbugs.IntAnnotationTest,2
java.edu.umd.cs.findbugs.ba.BackwardDataflowAnalysis,2
java5.edu.umd.cs.findbugs.gui2.SplashFrame,6
junit.edu.umd.cs.findbugs.filter.NotMatcherTest,3
java.edu.umd.cs.findbugs.cloudInterface.AbstractCloud,1
java.edu.umd.cs.findbugs.detect.FindBadEqualsImplementation,2
gui.edu.umd.cs.findbugs.gui2.ApplyNewFilter,1
java.edu.umd.cs.findbugs.ba.ch.package-info,3
java.edu.umd.cs.findbugs.graph.AbstractGraph,3
java.edu.umd.cs.findbugs.detect.FindUselessControlFlow,3
java.edu.umd.cs.findbugs.ba.heap.FieldSetAnalysis,5
java.edu.umd.cs.findbugs.util.Strings,9
junit.edu.umd.cs.findbugs.cloud.appEngine.AppEngineCloudIssueSyncTests,1
java.edu.umd.cs.findbugs.ba.constant.ConstantDataflow,2
java.edu.umd.cs.findbugs.ba.ClassHash,4
java.edu.umd.cs.findbugs.cloud.appEngine.AppEngineCloudClient,2
java.edu.umd.cs.findbugs.ba.interproc.PropertyDatabaseFormatException,1
java.edu.umd.cs.findbugs.cloud.username.WebCloudNameLookup,11
java.edu.umd.cs.findbugs.ba.npe2.Condition,2
java.edu.umd.cs.findbugs.detect.InheritanceUnsafeGetResource,4
gui.edu.umd.cs.findbugs.gui2.FindBugsHtmlFileFilter,1
java.edu.umd.cs.findbugs.detect.UseObjectEquals,2
java.edu.umd.cs.findbugs.detect.NoteDirectlyRelevantTypeQualifiers,6
java.edu.umd.cs.findbugs.detect.AnyMethodReturnValueStreamFactory,2
java.edu.umd.cs.findbugs.classfile.impl.SingleFileCodeBase,5
java.edu.umd.cs.findbugs.cloud.appEngine.EvaluationsFromXmlUploader,1
java.edu.umd.cs.findbugs.ba.heap.package-info,2
java.edu.umd.cs.findbugs.ba.vna.ValueNumberFactory,5
java.edu.umd.cs.findbugs.classfile.analysis.ClassInfo,20
java.edu.umd.cs.findbugs.classfile.engine.bcel.NonImplicitExceptionPostDominatorsAnalysis,2
