Component, CC
antlr.debug.ParserListener,1
antlr.ActionTransInfo,2
gnu.dtools.ritopt.SimpleProcess,3
net.sf.jabref.groups.KeywordGroup,27
tests.net.sf.jabref.export.layout.format.AuthorAbbreviatorTest,1
antlr.collections.impl.LLEnumeration,1
antlr.SatherCodeGenerator,2
jabref-mrdlib.src.java.spl.SplWebClient,1
net.sf.jabref.util.XMPSchemaBibtex,14
antlr.ASTNULLType,2
net.sf.jabref.search.SearchExpressionTreeParser,18
jabref-mrdlib.src.java.spl.localization.LocalizationSupport,4
net.sf.jabref.plugin.util.ParameterAccessor,2
net.sf.jabref.export.layout.format.FormatChars,2
net.sf.jabref.wizard.auximport.gui.FromAuxDialog,16
tests.net.sf.jabref.bst.TestVM,3
net.sf.jabref.gui.date.DatePickerButton,7
antlr.debug.MessageListener,1
net.sf.jabref.bst.ChangeCaseFunction,2
antlr.LexerGrammar,2
net.sf.jabref.export.layout.LayoutEntry,30
net.sf.jabref.oo.OOChars,2
antlr.DumpASTVisitor,2
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence2,1
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence6,1
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence5,1
net.sf.jabref.imports.HTMLConverter,3
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence4,1
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence3,1
antlr.Lookahead,2
net.sf.jabref.export.layout.LayoutTest,6
net.sf.jabref.undo.UndoableMoveString,1
spl.DocumentsWrapper,1
net.sf.jabref.MergeDialog,7
antlr.debug.SyntacticPredicateAdapter,1
net.sf.jabref.Util,161
antlr.MakeGrammar,2
net.sf.jabref.export.layout.format.GetOpenOfficeType,1
net.sf.jabref.export.layout.format.AuthorFirstFirst,6
net.sf.jabref.imports.EndnoteImporter,19
antlr.TokenSymbol,2
net.sf.jabref.util.QuotedStringTokenizer,1
net.sf.jabref.external.ExternalFileType,10
antlr.FileCopyException,2
net.sf.jabref.export.ExportFileFilter,5
antlr.MismatchedTokenException,2
antlr.preprocessor.Grammar,1
net.sf.jabref.SidePaneComponent,11
net.sf.jabref.oo.OOPreFormatter,3
net.sf.jabref.gui.components.JPanelXBoxLeftJustify,1
tests.net.sf.jabref.export.layout.format.RemoveTildeTest,1
spl.Tools,1
net.sf.jabref.export.layout.format.HTMLParagraphs,1
net.sf.jabref.BrowseAction,5
net.sf.jabref.imports.IsiImporter,26
net.sf.jabref.bst.BibtexCaseChanger,1
net.sf.jabref.import.acm1.test.net.sf.jabref.imports.ACMFetcherTest,1
antlr.BaseAST,2
net.sf.jabref.external.ExternalFilePanel,29
net.sf.jabref.gui.components.JPanelYBoxPreferredWidth,1
net.sf.jabref.export.layout.format.RemoveBracketsAddComma,1
net.sf.jabref.gui.EntryCustomizationDialog2,12
tests.net.sf.jabref.testutils.TestUtils,1
antlr.WildcardElement,2
net.sf.jabref.OpenFileFilter,8
antlr.TokenStreamRetryException,2
net.sf.jabref.export.SaveAllAction,3
net.sf.jabref.gui.MainTable,37
net.sf.jabref.util.CaseChangeMenu,2
net.sf.jabref.IconStringRenderer,4
net.sf.jabref.DuplicateCheck,6
antlr.CppBlockFinishingInfo,2
net.sf.jabref.sql.DBStrings,4
net.sf.jabref.about.AboutPanel,5
net.sf.jabref.imports.MsBibImporter,3
net.sf.jabref.MetaData,38
net.sf.jabref.CompressedEntryEditorTab,6
net.sf.jabref.label.ArticleLabelRule,8
net.sf.jabref.external.FullTextFinder,2
antlr.DocBookCodeGenerator,1
net.sf.jabref.oo.YearComparator,1
net.sf.jabref.export.MSBibExportFormat,5
net.sf.jabref.export.layout.format.FormatPagesForHTML,2
net.sf.jabref.undo.UndoableRemoveEntry,3
antlr.ASTPair,2
antlr.debug.SemanticPredicateListener,1
net.sf.jabref.DuplicateResolverDialog,20
antlr.ANTLRTokdefParser,2
net.sf.jabref.XmpPrefsTab,5
