Component, CC
org.apache.jasper.compiler.Validator,5
org.apache.catalina.ssi.SSIMediator,4
org.apache.el.parser.ArithmeticNode,1
org.apache.tomcat.util.modeler.BaseAttributeFilter,3
org.apache.catalina.session.PersistentManagerBase,24
javax.mail.internet.InternetAddress,1
org.apache.coyote.http11.Http11AprProtocol,54
org.apache.catalina.valves.CrawlerSessionManagerValve,15
org.apache.catalina.valves.SSLValve,11
org.apache.tomcat.util.bcel.classfile.AttributeReader,1
org.apache.jasper.el.ExpressionEvaluatorImpl,2
org.apache.catalina.authenticator.Constants,4
org.apache.catalina.manager.util.ReverseComparator,1
org.apache.naming.ResourceLinkRef,2
org.apache.tomcat.util.bcel.classfile.ArrayElementValue,2
javax.servlet.jsp.tagext.ValidationMessage,2
org.apache.catalina.users.MemoryGroup,1
javax.servlet.jsp.el.ScopedAttributeELResolver,2
org.apache.naming.resources.DirContextURLStreamHandler,3
org.apache.catalina.startup.XmlErrorHandler,1
org.apache.jasper.runtime.JspApplicationContextImpl,3
org.apache.catalina.core.NamingContextListener,9
org.apache.catalina.Manager,5
org.apache.catalina.connector.CoyoteInputStream,3
org.apache.jasper.compiler.ErrorHandler,1
org.apache.catalina.tribes.transport.ReplicationTransmitter,6
org.apache.coyote.ajp.Constants,5
javax.servlet.annotation.HandlesTypes,2
org.apache.tomcat.util.modeler.ParameterInfo,1
org.apache.catalina.tribes.io.ListenCallback,1
org.apache.catalina.mbeans.ContextResourceMBean,1
org.apache.coyote.http11.AbstractHttp11Protocol,30
org.apache.tomcat.util.bcel.classfile.ClassParser,3
org.apache.catalina.InstanceListener,1
org.apache.catalina.tribes.transport.nio.NioReceiver,8
org.apache.tomcat.util.http.mapper.Mapper,13
org.apache.catalina.authenticator.SpnegoAuthenticator,8
org.apache.jasper.tagplugins.jstl.core.Url,1
org.apache.catalina.tribes.ManagedChannel,1
org.apache.jasper.util.JspQueue,2
org.apache.catalina.core.StandardEngineValve,2
org.apache.catalina.connector.CometEventImpl,3
org.apache.el.parser.AstCompositeExpression,2
org.apache.tomcat.jni.Shm,1
org.apache.catalina.util.MIME2Java,4
javax.servlet.jsp.tagext.TagLibraryValidator,1
org.apache.catalina.Service,5
javax.servlet.annotation.HttpMethodConstraint,1
org.apache.catalina.ant.SessionsTask,1
org.apache.catalina.core.StandardService,19
org.apache.catalina.session.StandardSession,24
org.apache.catalina.ha.ClusterMessageBase,3
org.apache.catalina.util.ManifestResource,2
javax.mail.internet.MimePart,1
org.apache.catalina.tribes.util.UUIDGenerator,1
org.apache.catalina.ha.ClusterDeployer,4
org.apache.catalina.ssi.SSIStopProcessingException,2
org.apache.catalina.ssi.ResponseIncludeWrapper,5
org.apache.el.parser.AstFalse,1
org.apache.jasper.Options,4
org.apache.catalina.util.DOMWriter,2
org.apache.catalina.tribes.tipis.AbstractReplicatedMap,17
javax.servlet.jsp.SkipPageException,2
org.apache.catalina.util.InstanceSupport,1
org.apache.jasper.compiler.Generator,21
org.apache.catalina.startup.PasswdUserDatabase,3
org.apache.catalina.util.MD5Encoder,1
org.apache.coyote.ajp.AjpNioProcessor,31
javax.servlet.ServletContext,5
org.apache.catalina.ant.StopTask,2
org.apache.catalina.startup.SetContextPropertiesRule,1
org.apache.jasper.compiler.Node,5
org.apache.el.parser.AstFloatingPoint,2
org.apache.catalina.ssi.SSIServlet,6
org.apache.catalina.valves.SemaphoreValve,4
javax.servlet.ServletException,2
org.apache.catalina.ssi.SSICommand,2
org.apache.tomcat.util.http.CookieSupport,3
javax.servlet.jsp.tagext.SimpleTagSupport,2
org.apache.tomcat.util.http.fileupload.FileItemHeadersImpl,2
org.apache.tomcat.util.bcel.classfile.LineNumberTable,5
org.apache.catalina.filters.WebdavFixFilter,3
org.apache.catalina.ha.session.BackupManager,22
org.apache.tomcat.jni.Address,1
javax.persistence.PersistenceUnits,1
org.apache.catalina.util.Extension,1
org.apache.catalina.startup.EngineRuleSet,3
org.apache.el.parser.AstBracketSuffix,1
org.apache.catalina.tribes.group.ExtendedRpcCallback,4
org.apache.tomcat.util.digester.SetNextRule,1
org.apache.catalina.tribes.io.ChannelData,7
org.apache.catalina.valves.ExtendedAccessLogValve,9
org.apache.catalina.util.Strftime,2
org.apache.catalina.ant.DeployTask,1
